"Brand","SKU","Product Name","Stock Level","BC ID","In UHP Feed?"
"Ethique","UN - ETQ602","Ethique Discovery Pack  Minis - For Balanced Hair 45g","0","53581","NO"
"Ethique","UN - ETQ603","Ethique Discovery Pack  Minis - For Oily To Balanced 45g","0","53583","NO"
"Ethique","UN - ETQ604","Ethique Discovery Pack  Minis - For Touchy Scalps 45g","0","53585","NO"
"Ethique","UN - ETQ605","Ethique Discovery Pack  Minis - Luxurious Face Cleansing 45g","0","53587","NO"
"Ethique","UN - ETQ607","Ethique Discovery Pack  Minis - Gentle Unscented 45g","0","53591","NO"
"Ethique","UN - ETQ147","Ethique Shampoo & Soap Saver Bag x6","0","62805","NO"
"Ethique","UN - ETQ307","Ethique Solid Conditioner Mini The Guardian Normal Dry Hair 20 x 15g","0","62806","NO"
"Ethique","UN - ETQ141","Ethique Storage Tray Shampoo & Conditioner Pink x6","0","62560","NO"
"Ethique","UN - ETQ142","Ethique Storage Tray Shampoo & Conditioner Aqua x6","0","62561","NO"
"Ethique","UN - ETQ143","Ethique Storage Tray Shampoo & Conditioner Charcoal x6","0","62562","NO"
"Ethique","UN - ETQ144","Ethique Storage Tray Face Cleanser & Bodywash Pink x6","0","62802","NO"
"Ethique","UN - ETQ145","Ethique Storage Tray Face Cleanser & Bodywash Aqua x6","0","62803","NO"
"Ethique","UN - ETQ146","Ethique Storage Tray Face Cleanser & Bodywash Charcoal x6","0","62804","NO"
"Ethique","UN - ETQ351","Ethique Solid Face Cleanser Mini Deep Green Oily Normal 20 x 15g","0","62807","NO"
"Ethique","UN - ETQ370","Ethique Dogs Solid Shampoo Mini Bow Wow Bar 20 x 15g","0","62810","NO"
"The","UN - GP65C","The Ginger People Ginger Syrup 237ml","0","9669","NO"
"The","UN - FC36","The Natural Family Co Bio Toothbrush (Twin Pack) Pirate Black & Monsoon Mist","0","10855","NO"
"The","UN - FC38","The Natural Family Co Toothbrush Twin Pack River Mint & Monsoon Mist","0","10853","NO"
"The","UN - FC35","The Natural Family Co Bio Toothbrush (Twin Pack) Pirate Black & Ivory Desert","0","10854","NO"
"The","UN - FC37","The Natural Family Co Bio Toothbrush (Twin Pack) River Mint & Ivory Desert","0","10856","NO"
"The","UN - FC34","The Natural Family Co Bio Toothbrush & Stand Soft River Mint","0","10857","NO"
"The","UN - FC33","The Natural Family Co Bio Toothbrush & Stand Soft Pirate Black","0","10858","NO"
"The","UN - FC32","The Natural Family Co Bio Toothbrush & Stand Soft Monsoon Mist","0","10859","NO"
"The","UN - FC31","The Natural Family Co Bio Toothbrush & Stand Soft Ivory Desert","0","10871","NO"
"The","UN - GF11","The Gluten Free Food Co Grain Free Flour Blend Mix 400g","0","11617","NO"
"The","UN - GF12","The Gluten Free Food Co Wholemeal Flour Blend Mix 400g","0","11618","NO"
"The","UN - GF13","The Gluten Free Food Co Quick Bread Mix 480g","0","11619","NO"
"The","UN - GF14","The Gluten Free Food Co Quick Pizza Base Mix 350g","0","11620","NO"
"The","UN - GF15","The Gluten Free Food Co Soft & Flexible Wrap Mix 350g","0","11621","NO"
"The","UN - GF31","The Gluten Free Food Co Banana Bread Mix 400g","0","11625","NO"
"The","UN - GF32","The Gluten Free Food Co Chocolate Cake Mix 500g","0","11626","NO"
"The","UN - GF33","The Gluten Free Food Co Quick & Easy Cupcake Mix 500g","0","11627","NO"
"The","UN - GF41","The Gluten Free Food Co Mac N Cheez Original Cheez 200g","0","11630","NO"
"The","UN - GF42","The Gluten Free Food Co Mac N Cheez Cheez N Chive 200g","0","11631","NO"
"The","UN - GF43","The Gluten Free Food Co Mac N Cheez Chilli Cheez 200g","0","11632","NO"
"The","UN - GF44","The Gluten Free Food Co Mac N Cheez Porcini Cheez 200g","0","11633","NO"
"The","UN - ANS02","The Australian Natural Soap Co Solid Shampoo Bar Dry Hair 100g","0","19797","NO"
"The","UN - ANS03","The Australian Natural Soap Co Solid Shampoo Bar Oily Hair 100g","0","19798","NO"
"The","UN - ANS12","The Australian Natural Soap Co Activated Charcoal Unscented 100g","0","19829","NO"
"The","UN - ANS24","The Australian Natural Soap Co Dog Shampoo 100g","0","19835","NO"
"The","UN - ANS41","The Australian Natural Soap Co Beard & Shave Oil 25ml","0","20059","NO"
"The","UN - ANS51","The Australian Natural Soap Co Dish and Laundry Soap Bar 200g","0","20062","NO"
"The","UN - MF56","The Monday Food Co Keto Granola Peanut Butter Chocolate Chip 800g","0","28204","NO"
"The","UN - ANS05","The Australia Natural Soap Co Conditioner Bar Normal/Dry 100g","0","32594","NO"
"The","UN - ANS06","The Australia Natural Soap Co Conditioner Bar Sensitive/Oily 100g","0","32595","NO"
