Supplier,Supplier_SKU,Name,Brand,Barcode,Cost_Price,RRP,Stock,Category
uhp,AD15,Toothpaste Triple Action with Fluoride,Aloe Dent,5029354010362,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD16,Toothpaste Sensitive with Fluoride,Aloe Dent,5029354010386,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD17,Toothpaste Whitening with Fluoride,Aloe Dent,5029354010409,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD18,Toothpaste Coconut Oil Fluoride Free,Aloe Dent,5029354012687,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD26,Fresh Breath Spray,Aloe Dent,5029354004934,44.16,12.95,,"Body & Beauty, Cyber Sale"
uhp,AE101,Chocolate Organic Mint Creme Dark Truffle Thins,Alter Eco,9345911000697,56.4,7.99,,Snacks
uhp,AE102,Chocolate Organic Salted Caramel Dark Truffle Thins,Alter Eco,9345911000703,56.4,7.99,,"Christmas, Snacks"
uhp,AE105,Chocolate Organic Creme Brulee Dark Truffle Thins,Alter Eco,9345911000741,56.4,7.99,,Snacks
uhp,AE160,Chocolate Organic Dark Orange Blackout,Alter Eco,817670012550,56.4,7.99,,Snacks
uhp,AE162,Chocolate Organic Dark Classic Blackout,Alter Eco,9345911000024,56.4,7.99,,Snacks
uhp,AE164,Chocolate Organic Dark Coconut Toffee,Alter Eco,9345911000086,56.4,7.99,,Snacks
uhp,AE169,Chocolate Organic Dark Brown Butter,Alter Eco,9345911000277,56.4,7.99,,"Christmas, Snacks"
uhp,AE170,Chocolate Organic Dark Sea Salt,Alter Eco,9345911000284,56.4,7.99,,"Snacks, Top Sellers"
uhp,AE171,Chocolate Organic Dark Burnt Caramel,Alter Eco,9345911000314,56.4,7.99,,"Christmas, Snacks"
uhp,AE173,Chocolate Organic Dark Almonds Blackout,Alter Eco,9345911000710,56.4,7.99,,Snacks
uhp,AE184,Chocolate Organic Dark Mint Blackout,Alter Eco,9345911000574,56.4,7.99,,Snacks
uhp,AE185,Chocolate Organic Dark Total Blackout,Alter Eco,9345911000680,56.4,7.99,,"Snacks, Top Sellers"
uhp,AG11,Bento Box Palms,Arigato,735850101088,28.38,49.95,,Home
uhp,AG12,Bento Box Surfboards,Arigato,735850101095,28.38,49.95,,Home
uhp,AK01,Bioactive Honey MGO550+,Australia's Manuka,9329661000336,45.59,72.95,,"Mega Sale, Natural Remedies, Pantry"
