Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/copy-of-beans-borlotti-organic-canned-400g-global-organics/,/beans-borlotti-organic-canned-400g-global-organics/,,
www.buyorganicsonline.com.au,/copy-of-beans-cannellini-organic-canned-400g-global-organics/,/beans-cannellini-organic-canned-400g-global-organics/,,
www.buyorganicsonline.com.au,/bass-brushes-bio-flex-detangler-hair-brush-teal-x-1-on-sale/,/bass-brushes-bio-flex-detangler-hair-brush-teal-x-1/,,
www.buyorganicsonline.com.au,/botanika-blends-green-alchemy-nutrient-dense-greens-apple-mint-16x15g/,/search.php?search_query=botanika+blends+green+alchemy,,
