Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/luvin-life-himalayan-salt-fine-500g/,/,,
www.buyorganicsonline.com.au,/luvin-life-himalayan-salt-coarse-200g/,/,,
www.buyorganicsonline.com.au,/luvin-life-himalayan-salt-coarse-500g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-grain-free-flour-blend-mix-400g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-wholemeal-flour-blend-mix-400g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-quick-bread-mix-480g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-quick-pizza-base-mix-350g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-soft-flexible-wrap-mix-350g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-banana-bread-mix-400g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-chocolate-cake-mix-500g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-quick-easy-cupcake-mix-500g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-original-cheez-200g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-cheez-n-chive-200g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-chilli-cheez-200g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-porcini-cheez-200g/,/,,
www.buyorganicsonline.com.au,/my-magic-mud-polishing-tooth-powder-peppermint-40g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/my-magic-mud-tooth-powder-spearmint-40g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/bkirkpatrick-ajohnstone-book-healthy-hormones/,/,,
www.buyorganicsonline.com.au,/ever-eco-bamboo-cutlery-set/,/,,
www.buyorganicsonline.com.au,/solutions-4-health-oregano-oil-12-caps/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/simply-gentle-3-in-1-cosmetic-wipe-25/,/,,
www.buyorganicsonline.com.au,/simply-gentle-cotton-cloths-30/,/,,
www.buyorganicsonline.com.au,/chico-bag-reusable-shop-bag-original-x-10/,/,,
www.buyorganicsonline.com.au,/noble-jerky-vegan-jerky-chipotle-70g/,/,,
www.buyorganicsonline.com.au,/noble-jerky-vegan-jerky-sweet-bbq-70g/,/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-solid-shampoo-bar-dry-hair-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-solid-shampoo-bar-oily-hair-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-activated-charcoal-unscented-100g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-dog-shampoo-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ancient-minerals-inflatable-magnesium-footbath-kit-with-magnesium-bath-flakes/,/,,
www.buyorganicsonline.com.au,/little-zebra-chocolates-carob-buds-coconut-85g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-beard-shave-oil-25ml/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-dish-and-laundry-soap-bar-200g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/desert-island-confectionery-kresho-bar-chocolate-covered-almond-nougat-45g-x-24/,/snacks-treats/,,
www.buyorganicsonline.com.au,/zuii-organic-antibacterial-foam-hand-wash-with-ionic-silver-200ml/,/,,
www.buyorganicsonline.com.au,/zuii-organic-ionic-silver-alcohol-sanitising-gel-90ml/,/,,
www.buyorganicsonline.com.au,/planet-luxe-laundry-liquid-lemon-myrtle-blend-1l/,/,,
www.buyorganicsonline.com.au,/planet-luxe-floor-cleaner-rose-geranium-blend-1l/,/,,
www.buyorganicsonline.com.au,/planet-luxe-house-cleaner-lemon-myrtle-blend-500ml/,/,,
www.buyorganicsonline.com.au,/planet-luxe-dish-wash-lemon-myrtle-blend-500ml/,/,,
www.buyorganicsonline.com.au,/planet-luxe-freshen-up-spray-lavender-blend-200ml/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-cheez-sprinkles-130g/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-creamy-cheez-sauce-mix-150g/,/beauty-personal-care/skin-care/,,
www.buyorganicsonline.com.au,/plantasy-foods-omelette-and-fritter-mix-egg-free-150g/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-vegetable-gravy-mix-150g/,/,,
www.buyorganicsonline.com.au,/blue-dinosaur-bite-chocolate-brownie-box-of-18-18-x-30g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/blue-dinosaur-bite-white-chocolate-box-of-18-18-x-30g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/botanika-blends-plant-protein-lemon-cheesecake-500g/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/botanika-blends-plant-protein-lemon-cheesecake-1kg/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/enviro-products-drink-bottle-eastar-bpa-free-matte-black-22l/,/,,
www.buyorganicsonline.com.au,/ethique-solid-shampoo-shaving-bar-tip-to-toe-110g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-solid-conditioner-bar-tone-it-down-purple-60g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/plantasy-foods-mac-n-cheez-mac-n-go-80g/,/,,
www.buyorganicsonline.com.au,/ethique-solid-crme-bodywash-bar-sweet-orange-vanilla-110g/,/,,
www.buyorganicsonline.com.au,/ethique-solid-body-polish-bar-lime-ginger-110g/,/,,
www.buyorganicsonline.com.au,/ethique-dogs-solid-shampoo-bow-wow-bar-110g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-dogs-solid-shampoo-shampooch-sensitive-110g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-dogs-solid-conditioner-pawfector-60g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ethique-bamboo-cornstarch-shower-container-aqua-1/,/,,
www.buyorganicsonline.com.au,/ethique-bamboo-cornstarch-shower-container-green-1/,/,,
www.buyorganicsonline.com.au,/little-mashies-reusable-bowl-cover-extra-large-28cm-1/,/,,
www.buyorganicsonline.com.au,/little-mashies-reusable-bowl-cover-xxl-31cm-1/,/,,
www.buyorganicsonline.com.au,/the-monday-food-co-keto-granola-peanut-butter-chocolate-chip-800g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/my-magic-mud-silver-charcoal-toothpaste-with-coconut-oil-peppermint-113g/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/my-magic-mud-silver-charcoal-toothpaste-with-coconut-oil-spearmint-113g/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/plantasy-foods-the-good-soup-cheezy-broccoli-10x-30g/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-the-good-soup-creamy-tomato-with-basil-10x-30g/,/beauty-personal-care/skin-care/,,
www.buyorganicsonline.com.au,/plantasy-foods-the-good-soup-laksa-kaffir-lime-coconut-10x-30g/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-the-good-soup-wild-mushroom-10x-30g/,/,,
www.buyorganicsonline.com.au,/bug-grrr-off-eucyl-hand-sanitiser-gel-with-eucalyptus-250ml/,/,,
www.buyorganicsonline.com.au,/twist-scour-pads-plant-based-scour-pads-2/,/,,
www.buyorganicsonline.com.au,/dr-tungs-toothbrush-protection-kids-2/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/evolution-botanicals-cordyceps-extract-energy-performance-organic-101-100g/,/,,
www.buyorganicsonline.com.au,/evolution-botanicals-ayurvedic-shilajit-himalayan-mineral-complex-120g/,/,,
www.buyorganicsonline.com.au,/evolution-botanicals-lions-mane-extract-cognitive-performance-organic-121-100g/,/,,
www.buyorganicsonline.com.au,/evolution-botanicals-reishi-extract-spiritual-potency-organic-161-100g/,/,,
www.buyorganicsonline.com.au,/evolution-botanicals-siberian-chaga-extract-king-of-mushrooms-organic-111-100g/,/,,
www.buyorganicsonline.com.au,/evolution-botanicals-tremella-extract-beauty-complexion-organic-101-120g/,/,,
www.buyorganicsonline.com.au,/botanika-blends-vegan-protein-bars-lemon-cheesecake-12-x-40g/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/noble-jerky-vegan-jerky-sticky-hickory-70g/,/,,
www.buyorganicsonline.com.au,/that-red-house-chunky-block-dishwashing-soap-lemon-myrtle-140g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/your-tea-chinese-herbal-blend-tea-bags-1-week-program-antioxidant-14/,/drinks/tea-coffee/,,
www.buyorganicsonline.com.au,/your-tea-chinese-herbal-blend-tea-bags-1-week-program-happy-14/,/drinks/tea-coffee/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-basics-activated-charcoal-300g/,/,,
www.buyorganicsonline.com.au,/melrose-essential-greens-powder-organic-120g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/naked-paleo-keto-bars-chocolate-chip-cookie-dough-15-x-40g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/naked-paleo-keto-bars-peanut-butter-chocolate-15-x-40g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/sow-n-sow-gift-of-seeds-chamomile-1/,/,,
www.buyorganicsonline.com.au,/sow-n-sow-gift-of-seeds-echinacea-1/,/,,
www.buyorganicsonline.com.au,/sow-n-sow-gift-of-seeds-leafy-greens-1/,/,,
www.buyorganicsonline.com.au,/sow-n-sow-pop-up-pot-beach-1/,/,,
www.buyorganicsonline.com.au,/sow-n-sow-pop-up-pot-plant-party-1/,/,,
www.buyorganicsonline.com.au,/earthwise-dish-liquid-lemon-aloe-vera-750ml/,/,,
www.buyorganicsonline.com.au,/the-australia-natural-soap-co-conditioner-bar-normaldry-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/the-australia-natural-soap-co-conditioner-bar-sensitiveoily-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/the-australia-natural-soap-co-all-natural-soap-flakes-300g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/the-australia-natural-soap-co-all-natural-soap-flakes-1kg/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/botanika-blends-vegan-protein-custard-decadent-chocolate-120g/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/botanika-blends-nice-cream-vanilla-bean-protein-ice-cream-120g/,/beauty-personal-care/skin-care/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-basics-organic-cacao-powder-300g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-basics-organic-chia-seeds-300g/,/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-basics-organic-hemp-seeds-300g/,/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-basics-organic-maca-powder-300g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/botanika-blends-botanika-brekky-probiotic-porridge-apple-pie-1kg/,/,,
