BC Product ID,SKU,Name,Barcode,Reason
1565,"GBN - KIKI102","Eucalyptus Laundry Liquid 1050ml By Kin Kin Naturals","9370510501542","No UHP match found"
1566,"GBN - KIKI103","Lavender Laundry Liquid 1050ml By Kin Kin Naturals","9370510501511","No UHP match found"
44821,"OB - HGPSS","Herbs Of Gold Parastrike 28T","9346710000529","No UHP match found"
1618,"UN - LM03","Lemon Myrtle Fragrances Lemon Myrtle Conditioner 200ml","9336696000040","No UHP match found"
1619,"UN - LM02","Lemon Myrtle Fragrances Lemon Myrtle Shampoo 200ml","9336696000033","No UHP match found"
47635,"OB - HGPSL","Herbs Of Gold Parastrike 84T","9346710000536","No UHP match found"
1712,"UN - NT19","Natracare Incontinence Pads 20 Pads","782126003508","No UHP match found"
1719,"UN - NT05","Regular Ultra Wings Pads 14 Pads By Natracare","782126003058","No UHP match found"
1722,"UN - NT06","Natracare Super Ultra Wings Pads 12 Pads","782126003089","No UHP match found"
1723,"UN - NT22","Natracare Super Plus Ultra Pads 12 Pads","782126003119","No UHP match found"
1724,"UN - NT04","Natracare Night Time Pads 10 Pads","782126003041","No UHP match found"
1726,"UN - NT23","Natracare Longr Ultra Wings Pads 10 Pads","782126003102","No UHP match found"
1787,"UN - NS52","Naturally Sweet Xylitol Icing Sugar 500gr","9338656000305","No UHP match found"
1810,"UN - NE05","Neem Rich Neem Active Neem Toothpaste 100g","8902102230410","No UHP match found"
1856,"UN - NO31","Nirvana Organics Herb Blend Grinder 90g","9338196000452","No UHP match found"
1888,"UN - BU04","Bio Spark Vitamin C Powder 200g By Nts Health","9332591022217","No UHP match found"
1906,"UN - NU30","Traveller's Friend 30ml By Nutribiotic","728177099992","No UHP match found"
43399,"OB - DMVEC","DermaE Vitamin E 12 000IU Creme 113g","30985004458","No UHP match found"
2223,"UN - PT09","Protein Supplies Australia Whey Protein Isolate (WPI) 3kg","6774452222214","No UHP match found"
47827,"KIK - ELL-ELIXIR-30","Ellkeri Facial Elixir 30g","","No UHP match found"
2082,"UN - PL14","Planet Organic Green Tea Loose Leaf Tea 125g","9321728000204","No UHP match found"
2176,"UN - CP14","Power Super Foods Cacao Powder Certified Organic Raw 1kg","9332834002686","No UHP match found"
2177,"UN - CP15","Power Super Foods Cacao Butter Chunks 1 kg","9332834002723","No UHP match found"
2184,"UN - BP21","Power Super Foods Maqui Powder 50g","9332834004406","No UHP match found"
2200,"UN - PM01","Ever Eco Stainless Steel Straws x 2 Straws","797776956142","No UHP match found"
2210,"UN - PT67","Protein Supplies Australia 360 Whey Vanilla (Complete Protein) 500g","8999166791230","No UHP match found"
2211,"UN - PT03","Protein Supplies Australia Whey Protein Isolate (WPI) 500g","4886845566224","No UHP match found"
2212,"UN - PT54","Protein Supplies Australia Chocolate Pea Protein Isolate 500g","8248879983396","No UHP match found"
2213,"UN - PT57","Protein Supplies Australia Vanilla Pea Protein Isolate 500g","8354446887971","No UHP match found"
2215,"UN - PT06","Creatine 500g by Protein Supplies Australia","8995657322129","No UHP match found"
2216,"UN - PT51","Protein Supplies Australia Pea Protein Isolate 500g","8477756612337","No UHP match found"
2222,"UN - PT08","Protein Supplies Australia Whey Protein Concentrate (WPC) 3kg","6774452222221","No UHP match found"
2227,"UN - PT11","BCAA 200g by Protein Supplies Australia","8231163992112","No UHP match found"
2230,"UN - PT12","Creatine 200g by Protein Supplies Australia","8112336996727","No UHP match found"
2233,"UN - PT55","Protein Supplies Australia Chocolate Pea Protein Isolate 1kg","8248879983389","No UHP match found"
2235,"UN - PT62","Protein Supplies Australia Chocolate Whey Protein Isolate (WPI) 1kg","8999176612334","No UHP match found"
2244,"UN - PF60","Pure Food Essentials Buckwheat Flour 500g","837654063453","No UHP match found"
2253,"UN - PF02","Pure Food Essentials Chilli Powder 80g","837654063316","No UHP match found"
2284,"UN - RV21","Rosehip Plus Rosehip Oil 30ml","680569358134","No UHP match found"
2285,"UN - RV22","Rosehip Plus Rosehip Oil 50ml","680569358141","No UHP match found"
2299,"UN - SQ01","Silver Gel 60ml By Sakura Health Colloidal","680569536037","No UHP match found"
2493,"UN - VR61","Vrindavan Clove Bud Oil 50ml","9340249001644","No UHP match found"
2478,"UN - VR92","Vrindavan Rose Perfume Oil 10ml","9340249000692","No UHP match found"
2483,"UN - VR101","Vrindavan Eucalyptus Oil 25ml","9340249001828","No UHP match found"
2484,"UN - VR102","Vrindavan Lavender Oil 25ml","9340249001743","No UHP match found"
2485,"UN - VR103","Vrindavan Lemon Oil 25ml","9340249001835","No UHP match found"
2486,"UN - VR104","Vrindavan Lemon Grass Oil 25ml","9340249001750","No UHP match found"
2487,"UN - VR105","Vrindavan Peppermint Oil 25ml","9340249001798","No UHP match found"
2488,"UN - VR106","Vrindavan Rose Geranium Oil 25ml","9340249001804","No UHP match found"
2491,"UN - VR63","Vrindavan Clove Bud Oil 25ml","9340249001675","No UHP match found"
2492,"UN - VR64","Clove Leaf Oil 25ml By Vrindavan","9340249001682","No UHP match found"
2494,"UN - VR62","Clove Leaf Oil 50ml By Vrindavan","9340249001125","No UHP match found"
2495,"UN - VR46","Vrindavan Himalayan Deodorant 50ml","9340249000302","No UHP match found"
2496,"UN - VR47","Vrindavan Lavender Deodorant 50ml","9340249000296","No UHP match found"
2497,"UN - VR48","Vrindavan Rose Deodorant 50ml","9340249000326","No UHP match found"
2499,"UN - VR50","Vrindavan Patchouli Deodorant 50ml","9340249001156","No UHP match found"
2500,"UN - VR42","Vrindavan Rose Deodorant Mist 100ml","9340249000333","No UHP match found"
2501,"UN - VR43","Vrindavan Patchouli Deodorant Mist 100ml","9340249001149","No UHP match found"
2502,"UN - VR66","Vrindavan Rose Water Mist 100ml","9340249000418","No UHP match found"
2503,"UN - VR65","Vrindavan Organic Castor Oil 100ml","9340249000579","No UHP match found"
2504,"UN - VR67","Vrindavan Organic Castor Oil 250ml","9340249001552","No UHP match found"
3659,"KAD - 1517","Nature's Cuppa Tea English Breakfast Organic 60 Tea Bags","9311367000369","No UHP match found"
3120,"KAD - 63969","Lotus Carob Powder Organic 250g","9317127639695","No UHP match found"
2543,"UN - YT41","Calming Tea Bags 16 Bags By Yogi Tea - ON SALE BB 11/09/25","076950450028","No UHP match found"
2562,"UN - YT68","Yogi Tea Berry Detox Tea Bags 16 Bags","076950450677","No UHP match found"
2584,"KAD - 6076","Lotus Sea Salt Fine 500g","9317127060765","No UHP match found"
2588,"KAD - 6182","Lotus Sea Salt Iodised no flowing agent 500g","9317127061823","No UHP match found"
2644,"KAD - 32343","Oats Instant 500g The Muesli Company","9311467000337","No UHP match found"
2670,"KAD - 425423","Pear & White Grape 4+ 120g x 6 Organic Bubs","9338078007029","No UHP match found"
2673,"KAD - 425459","Organic Bubs Mango Peach & Banana 4+ 120g x 6","9338078007036","No UHP match found"
2674,"KAD - 425461","Sweet Potato Carrot & Pumpkin 4+ 120g x 6 Organic Bubs","9338078007050","No UHP match found"
2675,"KAD - 425473","Blueberry Banana & Quinoa 6+ 120g x 6 Organic Bubs","9338078006015","No UHP match found"
2676,"KAD - 425485","Banana & Apricot Power Porridge 6+ 120g x 6 Organic Bubs","9338078006091","No UHP match found"
2677,"KAD - 425497","Super Vegetable Rice Congee 6+ 120g x 6 Organic Bubs","9338078006084","No UHP match found"
2678,"KAD - 425502","Berry & Banana Bircher Muesli 6+ 120g x 6 Organic Bubs","9338078006107","No UHP match found"
2679,"KAD - 425514","Organic Bubs Sweetcorn Pumpkin & Chia 6+ 110g x 6","9338078006039","No UHP match found"
2701,"KAD - 63830","Lotus Wheat Bran Organic 300g","9317127638308","No UHP match found"
2702,"KAD - 865","Herbon Soap Botanical 100g","93226783","No UHP match found"
2723,"KAD - 6014","Lotus Textured Soy Protein (TVP) 200g","9317127060147","No UHP match found"
2758,"KAD - 63819","Lotus Wheat Grain Organic 500g","9317127638193","No UHP match found"
2760,"KAD - 6131","Lotus Oats Steel Cut 500g","9317127061311","No UHP match found"
3122,"KAD - 63801","Lotus Barley Flour Organic 500g","9317127638018","No UHP match found"
2761,"KAD - 6066","Yeast Granulated 100g Lotus","9317127060666","No UHP match found"
2770,"KAD - 6126","Lotus Wheat Bran Unprocessed 300g","9317127061267","No UHP match found"
2771,"KAD - 81054","Hiltona Prunes Organic 250g","9330360000039","No UHP match found"
2787,"KAD - 6034","Lotus Sunflower Kernels 250g","9317127060345","No UHP match found"
3124,"KAD - 63805","Lotus Maize Flour Organic 500g","9317127638056","No UHP match found"
2804,"KAD - 63847","Lotus Rye Flakes Rolled Organic 250g","9317127638476","No UHP match found"
2833,"KAD - 6178","Lotus Glucose Powder (Dextrose) 500g","9317127061786","No UHP match found"
2849,"KAD - 6127","Lotus Barley Flakes Rolled 500g","9317127061274","No UHP match found"
2852,"KAD - 6123","Lotus Semolina Coarse 500g","9317127061236","No UHP match found"
2873,"KAD - 6221","Lotus Tapioca Seed 375g","9317127062219","No UHP match found"
2883,"KAD - 64048","Lotus Buckwheat Kernels Organic 250g","9317127640486","No UHP match found"
2906,"KAD - 6271","Lotus Linseed (Flaxseed) Brown 500g","9317127062714","No UHP match found"
3126,"KAD - 63815","Lotus Millet Hulled Organic 500g","9317127638155","No UHP match found"
2911,"KAD - 6109","Bourghal Fine 500g Lotus","9317127061090","No UHP match found"
2912,"KAD - 6120","Lotus Barley Bran Fine 500g","9317127061205","No UHP match found"
2930,"KAD - 64004","Lotus Spelt Flakes Rolled Organic 250g","9317127640042","No UHP match found"
2990,"KAD - 6270","Lotus Wheat Germ Stabilised 500g","9317127062707","No UHP match found"
2991,"KAD - 63825","Soy Beans Organic 500g Lotus","9317127638254","No UHP match found"
2994,"KAD - 6110","Lotus Bourghal Coarse 500g","9317127061106","No UHP match found"
2997,"KAD - 63836","Lotus Popcorn Organic 500g","9317127638360","No UHP match found"
3007,"KAD - 63975","Lotus Textured Soy Protein (TVP) Coarse Organic 100g","9317127639756","No UHP match found"
3008,"KAD - 6220","Lotus Cornflour Maize 500g","9317127062202","No UHP match found"
3009,"KAD - 63856","Lotus Sugar Raw Organic 500g","9317127638568","No UHP match found"
3016,"KAD - 15029","Eatrite Crackers Brown Rice Tamari/Seaweed 100g","9311367000215","No UHP match found"
3018,"KAD - 99766","Sun Valley Box 100% True Fruit Strips Apple 120g","9312331003010","No UHP match found"
3019,"KAD - 99769","Sun Valley Box 100% True Fruit Strips Apricot & Apple 120g","9312331003041","No UHP match found"
3020,"KAD - 99775","Sun Valley Box 100% True Fruit Strips Plum & Apple 120g","9312331003058","No UHP match found"
3043,"KAD - 6226","Lotus Rice Flour White 500g","9317127062264","No UHP match found"
3046,"KAD - 6363","Wheat Germ Raw 500g Lotus","9317127063636","No UHP match found"
3047,"KAD - 6032","Sesame Seeds Hulled 250g Lotus","9317127060321","No UHP match found"
3660,"KAD - 1550","NATURE'S CUPPA Tea Green Organic 60 Tea Bags","9311367000383","No UHP match found"
3050,"KAD - 63998","Lotus Oats Quick Organic 500g","9317127639985","No UHP match found"
3057,"KAD - 6055","Lotus Buckwheat Kernels 500g","9317127060550","No UHP match found"
3059,"KAD - 64026","Lotus Oats Rolled Traditional Creamy Style Organic 500g","9317127640264","No UHP match found"
3060,"KAD - 63892","Lotus Oats Instant Organic 500g","9317127638926","No UHP match found"
3117,"KAD - 6180","Lotus Rice Bran Cereal 250g","9317127061809","No UHP match found"
3144,"KAD - 63810","Lotus Soy Flour Organic 500g","9317127638100","No UHP match found"
3189,"KAD - 64060","Lotus Tapioca Flour Organic 500g","9317127640608","No UHP match found"
3155,"KAD - 63890","Lotus Chana Dahl (Spilt Peas) Organic 500g","9317127638902","No UHP match found"
3158,"KAD - 422419","Lotus Glucose Powder (Dextrose) 1kg","9317127003663","No UHP match found"
3171,"KAD - 64008","Lotus Banana Chips Organic 150g","9317127640080","No UHP match found"
3192,"KAD - 63882","Lotus Lentils Red Split Organic 250g","9317127638827","No UHP match found"
3194,"KAD - 64032","Lotus Sesame Seeds Hulled Organic 200g","9317127640325","No UHP match found"
3209,"KAD - 63806","Lotus Millet Flour Organic 500g","9317127638063","No UHP match found"
3346,"KAD - 1531","Coffee Substitute (Tin) 125g Nature's Cuppa","9311367000284","No UHP match found"
3233,"KAD - 63821","Lotus Millet Meal Organic 500g","9317127638216","No UHP match found"
3234,"KAD - 7036","Lotus Rice Puffed Brown Organic 175g","9317127070368","No UHP match found"
3240,"KAD - 63967","Lotus Bourghal Coarse Organic 375g","9317127639671","No UHP match found"
3241,"KAD - 411882","Mustard Strong Dijon Organic 200g Global Organics","9326721009360","No UHP match found"
3500,"KAD - 443788","Body Crystal Fragrance Free Roll On 80ml","9300641001444","No UHP match found"
3270,"KAD - 6051","Lotus Almond Meal 125g","9317127060512","No UHP match found"
3298,"KAD - 6362","Lotus Wheat Grain Organic 1kg","9317127063629","No UHP match found"
3300,"KAD - 6080","Lotus Whey Powder 500g","9317127060802","No UHP match found"
3301,"KAD - 63834","Oat Groats Organic 500g Lotus","9317127638346","No UHP match found"
3365,"KAD - 6227","Bread Improver 250g Lotus","9317127062271","No UHP match found"
3367,"KAD - 888","Herbon Soap Liquid Refill 250ml","93226769","No UHP match found"
3384,"KAD - 6081","Lotus Buttermilk Powder 250g","9317127060819","No UHP match found"
