Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/natural-value-kitchen-scrubber-sponge-on-sale/,/,,
www.buyorganicsonline.com.au,/copy-of-natures-sunshine-liquid-chlorophyll-946ml/,/,,
www.buyorganicsonline.com.au,/planet-organic-maple-syrup-250ml-on-sale-bb-06-05-25/,/,,
www.buyorganicsonline.com.au,/kialla-pure-foods-organic-pearl-barley-20kg-on-sale-bb-13-06-25/,/,,
www.buyorganicsonline.com.au,/dr-organic-vitamin-e-shampoo-265ml-on-sale/,/,,
www.buyorganicsonline.com.au,/ecococonut-scourer-scrub-pad-2-on-sale/,/,,
www.buyorganicsonline.com.au,/giovanni-d-tox-system-purifying-facial-cleanser-207ml-on-sale/,/,,
www.buyorganicsonline.com.au,/global-organics-mayonnaise-egg-free-organic-240g-on-sale-bb-01-05-25/,/,,
www.buyorganicsonline.com.au,/copy-of-melrose-nut-butter-macadamia-cashew-250g/,/,,
www.buyorganicsonline.com.au,/evolution-botanicals-organic-ashwagandha-100g-on-sale-bb-12-26/,/,,
www.buyorganicsonline.com.au,/switch-nutrition-inositol-40-1-myo-d-chiro-inositol-150g-on-sale-bb-11-26/,/,,
www.buyorganicsonline.com.au,/faith-in-nature-shampoo-invigorating-grapefruit-orange-400ml-on-sale/,/,,
www.buyorganicsonline.com.au,/aloe-vera-of-australia-aloe-vera-creme-70-100ml-on-sale-exp-08-26/,/,,
www.buyorganicsonline.com.au,/lotus-buckwheat-flour-organic-4-8kg-on-sale-bb-05-01-26/,/,,
www.buyorganicsonline.com.au,/lotus-soy-flour-organic-500g-on-sale-bb-21-07-25/,/,,
www.buyorganicsonline.com.au,/kintra-foods-roasted-dandelion-blend-fine-175g-on-sale-bb-02-28/,/,,
www.buyorganicsonline.com.au,/power-super-foods-cacao-gold-powder-certified-organic-225g-on-sale-bb-15-08-25/,/,,
www.buyorganicsonline.com.au,/power-super-foods-tigernut-flour-the-origin-series-300g-on-sale-bb-22-06-25/,/,,
www.buyorganicsonline.com.au,/power-super-foods-black-maca-powder-certified-organic-250g-on-sale-bb-18-06-27/,/,,
www.buyorganicsonline.com.au,/solutions-4-health-oregano-oil-12-caps-on-sale-bb-05-25/,/,,
www.buyorganicsonline.com.au,/everyorganics-australian-bee-pollen-150g-on-sale-bb-01-08-26/,/,,
www.buyorganicsonline.com.au,/spiral-tamari-sauce-genuine-500ml-on-sale-bb-07-02-25/,/,,
www.buyorganicsonline.com.au,/mingle-jord-s-nan-s-apple-pie-all-natural-sweet-topper-130g-on-sale-bb-04-02-26/,/,,
www.buyorganicsonline.com.au,/ora-health-mag3-complete-120-caps-on-sale-bb-03-26/,/,,
www.buyorganicsonline.com.au,/simply-clean-laundry-powder-lemon-myrtle-4kg-on-sale-bb-12-12-27/,/,,
www.buyorganicsonline.com.au,/lotus-sunflower-kernels-organic-250g-on-sale-bb-22-09-25/,/,,
www.buyorganicsonline.com.au,/acure-curiously-clarifying-conditioner-lemongrass-236ml-on-sale/,/,,
