id,from_path,target_type,target_destination,target_entity_id,category,site_id
6245,/shoyu-organic-500-ml-by-lotus/,brand,Brand ID: 179,179,standard-product,1000
6261,/muesli-natural-organic-750-grams-by-lotus/,brand,Brand ID: 179,179,standard-product,1000
6264,/panty-liners-tanga-organic-cotton-30-pads-by-natracare/,brand,Brand ID: 190,190,standard-product,1000
6268,/tranquilitea-20-bags-by-maharishi-ayurveda/,brand,Brand ID: 182,182,standard-product,1000
6269,/500-vegan-dishes-1-book/,category,Category ID: 553,553,standard-product,1000
6270,/sniffle-free-tea-20-bags-by-maharishi-ayurveda/,brand,Brand ID: 182,182,standard-product,1000
6272,/from-cancer-to-wellness-1-book/,category,Category ID: 553,553,standard-product,1000
6278,/brown-flaxseed-meal-organic-500-grams-by-stoney-creek/,brand,Brand ID: 402,402,standard-product,1000
6279,/almonds-raw-organic-125-grams-by-lotus/,brand,Brand ID: 179,179,standard-product,1000
6282,/facial-cleanser-purify-daily/,category,Category ID: 486,486,standard-product,1000
6285,/a-modern-introduction-to-hemp-1-book/,category,Category ID: 553,553,standard-product,1000
6287,/rice-aminos-shampoo-225-ml-by-alchemy/,brand,Brand ID: 87,87,standard-product,1000
6293,/going-raw-1-book/,category,Category ID: 553,553,standard-product,1000
6295,/have-you-got-the-guts-to-be-healthy-1-book/,category,Category ID: 553,553,standard-product,1000
6299,/double-walled-glass-coffee-tea-mug-purple-380ml-by-ecobud/,brand,Brand ID: 133,133,standard-product,1000
6300,/yeast-flakes-savoury-500g-nature-first/,brand,Brand ID: 287,287,standard-product,1000
6309,/cell-food-book-1-book-by-cellfood/,brand,Brand ID: 106,106,standard-product,1000
6317,/dvd-eating-3rd-edition-based-on-the-rave-diet/,category,Category ID: 553,553,standard-product,1000
6323,/body-lotion-4/,category,Category ID: 421,421,standard-product,1000
6324,/olive-oil-extra-virgin-946ml-by-bragg/,brand,Brand ID: 94,94,standard-product,1000
6328,/cereal-rice-crisps-300-grams-by-lotus/,brand,Brand ID: 179,179,standard-product,1000
6330,/liquid-aminos-473-ml-by-bragg-on-sale/,brand,Brand ID: 94,94,sale-expiry,1000
6331,/brands/Biologika.html,brand,Brand ID: 697,697,brand-page,1000
6332,/pepitas-pumpkin-kernels-organic-1kg-by-lotus/,brand,Brand ID: 179,179,standard-product,1000
6339,/bread-mix-multigrain-1-kg-by-kialla/,brand,Brand ID: 328,328,standard-product,1000
6340,/bread-mix-rye-1-kg-by-kialla/,brand,Brand ID: 328,328,standard-product,1000
6346,/dr-organic-aloe-vera-lip-balm-5-7-ml/,brand,Brand ID: 69,69,standard-product,1000
6347,/wheat-bran-500-grams-by-nature-first/,brand,Brand ID: 287,287,standard-product,1000
6348,/pasta-rice-spirals-1-kg-by-buontempo/,brand,Brand ID: 287,287,standard-product,1000
6350,/shave-cream-papaya-mango-147-ml-by-alba-hawaiian/,brand,Brand ID: 403,403,standard-product,1000
6355,/unscented-shampoo-500-ml-by-alchemy/,brand,Brand ID: 87,87,standard-product,1000
6362,/the-acid-alkaline-balance-diet-1-book/,category,Category ID: 553,553,standard-product,1000
6363,/aloe-vera-lip-balm-5-7-ml-by-dr-organic/,brand,Brand ID: 69,69,standard-product,1000
6365,/white-tea-loose-leaf-35-grams-by-planet-organic-on-sale/,brand,Brand ID: 227,227,sale-expiry,1000
6369,/green-tea-canister-100-grams-by-planet-organic/,brand,Brand ID: 227,227,standard-product,1000
6374,/book-world-without-cancer/,category,Category ID: 553,553,standard-product,1000
6376,/quinoa-grain-white-box-450-grams-by-nature-first/,brand,Brand ID: 287,287,standard-product,1000
6377,/goji-cacao-nibs-150-grams-by-power-super-foods-on-sale/,brand,Brand ID: 229,229,sale-expiry,1000
6391,/organic-kapha-balance-100-grams-by-maharishi-ayurveda/,brand,Brand ID: 182,182,standard-product,1000
6398,/maqui-powder-100g-by-power-super-foods-on-sale/,brand,Brand ID: 229,229,sale-expiry,1000
6400,/goldenberrys-125g-by-power-super-foods-on-sale/,brand,Brand ID: 229,229,sale-expiry,1000
6407,/world-without-cancer-by-g-edward-griffin/,category,Category ID: 553,553,standard-product,1000
6454,/ultimate-protein-1-kg-by-eden-health-foods/,product,Product ID: 1197,1197,standard-product,1000
6458,/2chic-conditioner-250ml-by-giovanni/,product,Product ID: 6100,6100,standard-product,1000
6459,/leave-in-conditioner-2chic-0-by-giovanni/,product,Product ID: 7810,7810,standard-product,1000
6460,/conditioner-2chic-0-by-giovanni/,product,Product ID: 7809,7809,standard-product,1000
6461,/shampoo-2chic-0-by-giovanni/,product,Product ID: 7808,7808,standard-product,1000
6462,/hair-oil-serum-2chic/,product,Product ID: 7701,7701,standard-product,1000
6463,/intensive-hair-mask-2chic/,product,Product ID: 7700,7700,standard-product,1000
6464,/giovanni-2chic-leave-in-elixir-118ml/,product,Product ID: 4900,4900,standard-product,1000
6470,/rice-bran-cereal-4-x-400g-lotus/,product,Product ID: 7540,7540,standard-product,1000
6471,/acai-berry-fruit-bar-24-x-21-grams-by-riolife,category,Category ID: 494,494,standard-product,1000
6472,/cleanser-brightening-creamy-meyer-lemon-178-ml-by-andalou,category,Category ID: 486,486,standard-product,1000
6473,/berry-super-food-powder-240-grams-by-amazing-grass,category,Category ID: 493,493,standard-product,1000
6474,/mineral-make-up,category,Category ID: 569,569,standard-product,1000
6475,/new-kadac-carton,category,Category ID: 498,498,standard-product,1000
6478,/new-kadac,category,Category ID: 498,498,standard-product,1000
6479,/old-kadac,category,Category ID: 498,498,standard-product,1000
6481,/organic-times-almond-meal/,product,Product ID: 6533,6533,standard-product,1000
6483,/almond-meal-with-oa-125g-lotus/,product,Product ID: 3270,3270,standard-product,1000
6485,/super-greens-powder-200-grams-by-synergy-organic/,product,Product ID: 2389,2389,standard-product,1000
6507,/vanilla-ultimate-protein-1-kg-by-eden-health-foods/,product,Product ID: 1199,1199,standard-product,1000
6509,/wild-henna-shampoo-250-ml-by-wild/,product,Product ID: 2512,2512,standard-product,1000
6513,/raw-protein-cacao-coconut-1-kg-by-amazonia/,product,Product ID: 7003,7003,standard-product,1000
6519,/antibacterial-topical-spray-125-ml-by-lemon-myrtle-fragrances/,product,Product ID: 1613,1613,standard-product,1000
6520,/maca-powder-500-grams-by-power-super-foods/,product,Product ID: 2137,2137,standard-product,1000
6522,/pea-protein-isolate-1-kg-by-protein-supplies-aust/,product,Product ID: 2232,2232,standard-product,1000
6523,/choc-pea-protein-isolate-500-grams-by-protein-supplies-aust/,product,Product ID: 2212,2212,standard-product,1000
6524,/choc-pea-protein-isolate-1-kg-by-protein-supplies-aust/,product,Product ID: 2233,2233,standard-product,1000
6526,/van-pea-protein-isolate-500-grams-by-protein-supplies-aust/,product,Product ID: 2213,2213,standard-product,1000
6527,/van-pea-protein-isolate-1-kg-by-protein-supplies-aust/,product,Product ID: 2234,2234,standard-product,1000
6529,/chocolate-whey-isolate-500-grams-by-protein-supplies-aust/,product,Product ID: 2206,2206,standard-product,1000
6530,/chocolate-whey-isolate-1-kg-by-protein-supplies-aust/,product,Product ID: 2235,2235,standard-product,1000
6532,/360-whey-chocolate-1kg-by-protein-supplies-aust/,product,Product ID: 2236,2236,standard-product,1000
6533,/360-whey-vanilla-500-grams-by-protein-supplies-aust/,product,Product ID: 2210,2210,standard-product,1000
6534,/360-whey-vanilla-1-kg-by-protein-supplies-aust/,product,Product ID: 2237,2237,standard-product,1000
6535,/spark-pre-workout-green-apple-250-grams-by-protein-supplies-aust/,product,Product ID: 2218,2218,standard-product,1000
6541,/sweet-orange-clementine-dish-liquid-500-ml-by-ecologic/,product,Product ID: 207,207,standard-product,1000
6542,/lemon-lime-dishwash-liquid-500-ml-by-ecologic/,product,Product ID: 209,209,standard-product,1000
6552,/clothes-pegs-25-pegs-by-go-bamboo/,product,Product ID: 1391,1391,standard-product,1000
6563,/wild-gentle-shampoo-250-ml-by-wild/,product,Product ID: 2511,2511,standard-product,1000
6564,/shampoo-250ml-by-wild/,product,Product ID: 6227,6227,standard-product,1000
6578,/organic-rooibos-chai-0-by-chai-tea/,product,Product ID: 7780,7780,standard-product,1000
6580,/cookies-organic-0-by-organic-times-1/,product,Product ID: 7885,7885,standard-product,1000
6597,/brands/Nulax.html,brand,Brand ID: 764,764,brand-page,1000
6685,/natural-olive-leaf-extract-100-ml-by-olive-leaf-australia/,product,Product ID: 9139,9139,standard-product,1000
6700,/protein-supplies-aust-pea-protein-isolate/,product,Product ID: 6752,6752,standard-product,1000
6701,/protein-supplies-aust-whey-protein-isolate/,product,Product ID: 6753,6753,standard-product,1000
6705,/blackcurrant-toothpaste-50-grams-by-jack-n-jill/,product,Product ID: 1505,1505,standard-product,1000
6706,/blueberry-toothpaste-50-grams-by-jack-n-jill/,product,Product ID: 1506,1506,standard-product,1000
6707,/raspberry-toothpaste-50-grams-by-jack-n-jill/,product,Product ID: 1507,1507,standard-product,1000
6708,/childrens-organic-strawberry-toothpaste-50-grams-by-jack-n-jill/,product,Product ID: 1508,1508,standard-product,1000
